CustomerID,Age,Annual_Income_k$,Spending_Score,Purchase_Frequency,Gender
1,56.0,65.03,23,3,Female
2,69.0,103.57,40,3,Male
3,46.0,47.2,82,7,Female
4,32.0,44.72,46,8,Female
5,60.0,57.67,67,2,Female
6,25.0,37.1,56,7,Female
7,38.0,98.23,25,7,Female
8,56.0,104.82,13,11,Female
9,36.0,79.81,73,4,Female
10,40.0,83.27,95,3,Female
11,28.0,55.96,62,9,Male
12,28.0,76.82,53,3,Female
13,41.0,,22,8,Female
14,53.0,51.96,83,6,Male
15,57.0,95.82,66,9,Male
16,41.0,59.41,57,8,Female
17,20.0,57.54,81,13,Male
18,39.0,38.07,75,4,Female
19,19.0,65.52,52,11,Female
20,41.0,88.0,86,11,Male
21,,3.5,47,7,Female
22,47.0,68.58,85,9,Male
23,55.0,78.15,6,4,Male
24,19.0,62.98,21,8,Male
25,38.0,10.81,93,5,Male
26,50.0,26.03,69,8,Male
27,29.0,58.0,9,3,Female
28,39.0,18.17,93,5,Female
29,61.0,127.13,89,6,Male
30,42.0,,15,6,Female
31,66.0,34.08,56,5,Male
32,44.0,81.83,70,9,Male
33,59.0,76.75,30,6,Male
34,45.0,50.94,60,3,Male
35,33.0,84.57,21,7,Female
36,32.0,7.84,3,2,Male
37,64.0,51.45,23,4,Male
38,68.0,46.93,29,3,Male
39,61.0,104.94,44,3,Female
40,,35.99,2,3,Male
41,20.0,77.13,100,3,Male
42,54.0,42.81,50,11,Male
43,68.0,86.57,77,8,Female
44,24.0,49.21,45,9,Male
45,38.0,29.64,20,3,Male
46,26.0,59.25,4,4,Male
47,56.0,81.1,31,1,Male
48,35.0,73.07,35,7,Male
49,21.0,22.68,84,4,Female
50,42.0,20.05,25,6,Female
51,31.0,43.91,8,7,Female
52,67.0,35.38,35,8,Male
53,26.0,37.45,71,5,Female
54,43.0,48.47,83,10,Female
55,19.0,74.8,11,11,Male
56,37.0,53.09,71,6,Female
57,45.0,30.38,12,7,Female
58,64.0,37.07,8,2,Male
59,24.0,71.09,50,8,Female
60,61.0,57.22,63,1,Male
61,25.0,42.2,96,7,Male
62,64.0,75.79,30,6,Male
63,52.0,80.18,70,5,Female
64,31.0,79.14,3,6,Female
65,34.0,57.48,29,3,Female
66,53.0,37.51,44,7,Male
67,67.0,54.36,20,6,Male
68,,42.26,4,6,Male
69,21.0,-5.83,81,5,Female
70,19.0,54.1,88,3,Female
71,23.0,6.28,49,5,Female
72,59.0,41.85,23,6,Male
73,21.0,45.43,88,7,Female
74,46.0,98.62,39,7,Female
75,35.0,30.36,100,9,Male
76,43.0,65.83,44,5,Female
77,61.0,52.11,6,3,Male
78,51.0,71.52,23,4,Female
79,27.0,43.42,34,2,Female
80,53.0,20.53,62,2,Male
81,31.0,62.68,94,6,Female
82,48.0,60.43,26,5,Male
83,65.0,64.69,5,6,Male
84,32.0,52.5,41,5,Male
85,25.0,51.1,100,3,Male
86,31.0,80.11,7,3,Male
87,40.0,,7,6,Male
88,57.0,39.89,93,6,Female
89,38.0,56.29,61,7,Male
90,33.0,29.95,9,7,Female
91,62.0,74.2,21,2,Male
92,35.0,71.55,99,7,Male
93,64.0,95.39,85,3,Male
94,41.0,78.42,86,6,Female
95,43.0,64.47,2,5,Female
96,42.0,622.42,500,3,Female
97,62.0,,54,5,Female
98,58.0,73.89,68,4,Male
99,46.0,14.74,63,7,Female
100,32.0,80.31,13,5,Male
101,62.0,,99,9,Female
102,18.0,67.16,71,5,Female
103,,79.6,98,7,Female
104,24.0,,57,3,Female
105,26.0,105.05,34,7,Female
106,41.0,75.23,15,8,Male
107,18.0,20.44,42,8,Male
108,61.0,65.72,31,4,Male
109,25.0,79.43,15,8,Male
110,41.0,77.44,65,3,Female
111,28.0,56.19,95,3,Female
112,68.0,50.81,9,4,Female
113,34.0,50.97,79,6,Male
114,25.0,56.27,99,4,Male
115,,63.28,10,3,Male
116,52.0,73.56,15,4,Male
117,50.0,69.4,83,4,Male
118,22.0,49.2,91,3,Female
119,59.0,30.28,6,5,Female
120,56.0,69.46,1,6,Male
121,58.0,52.76,3,3,Female
122,45.0,100.18,39,3,Male
123,24.0,82.8,2,6,Female
124,26.0,,37,5,Male
125,25.0,41.11,84,4,Female
126,29.0,26.22,93,8,Female
127,51.0,60.06,92,7,Male
128,50.0,63.65,16,3,Female
129,65.0,16.58,49,3,Male
130,40.0,71.84,97,5,Male
131,41.0,61.23,29,3,Female
132,54.0,-6.77,91,3,Male
133,52.0,38.6,8,3,Female
134,61.0,40.26,8,5,Female
135,57.0,29.5,64,6,Female
136,39.0,69.69,42,7,Female
137,44.0,104.71,82,8,Female
138,52.0,71.59,13,6,Male
139,18.0,75.81,100,4,Male
140,52.0,40.6,98,5,Female
141,54.0,72.74,10,6,Female
142,64.0,55.42,48,5,Female
143,31.0,60.02,39,7,Female
144,20.0,44.91,44,6,Female
145,18.0,20.54,62,10,Female
146,22.0,82.99,28,5,Male
147,43.0,64.03,62,3,Male
148,31.0,54.27,90,2,Female
149,56.0,105.64,61,0,Female
